Asiento|CodigoCuenta|CargoAbono|ImporteAsiento|Ejercicio|FechaAsiento|Comentario|Periodo
127|438001272|D|637.56|2025|31/01/2025|Fra. Correos: Q250001337|1
127|440000000|H|637.56|2025|31/01/2025|Fra. Correos: Q250001337|1
128|438001272|D|314.16|2025|31/01/2025|Fra. Correos: Q250001336|1
128|440000000|H|314.16|2025|31/01/2025|Fra. Correos: Q250001336|1
129|438001272|D|18.48|2025|31/01/2025|Fra. Correos: Q250001335|1
129|440000000|H|18.48|2025|31/01/2025|Fra. Correos: Q250001335|1
130|438001272|D|64.68|2025|31/01/2025|Fra. Correos: Q250001972|1
130|440000000|H|64.68|2025|31/01/2025|Fra. Correos: Q250001972|1
131|438001272|D|21.42|2025|31/01/2025|Fra. Correos: Q250003509|1
131|440000000|H|21.42|2025|31/01/2025|Fra. Correos: Q250003509|1
132|438001272|D|304.92|2025|31/01/2025|Fra. Correos: Q250001339|1
132|440000000|H|304.92|2025|31/01/2025|Fra. Correos: Q250001339|1
133|438001272|D|42.98|2025|31/01/2025|Fra. Correos: Q250003525|1
133|440000000|H|42.98|2025|31/01/2025|Fra. Correos: Q250003525|1
134|438001272|D|277.20|2025|31/01/2025|Fra. Correos: Q250001334|1
134|440000000|H|277.20|2025|31/01/2025|Fra. Correos: Q250001334|1
135|438001272|D|64.68|2025|31/01/2025|Fra. Correos: Q250001338|1
135|440000000|H|64.68|2025|31/01/2025|Fra. Correos: Q250001338|1
136|438001272|D|295.68|2025|31/01/2025|Fra. Correos: Q250001984|1
136|440000000|H|295.68|2025|31/01/2025|Fra. Correos: Q250001984|1
137|438001272|D|64.26|2025|31/01/2025|Fra. Correos: Q250003518|1
137|440000000|H|64.26|2025|31/01/2025|Fra. Correos: Q250003518|1
138|438001272|D|83.16|2025|31/01/2025|Fra. Correos: Q250001979|1
138|440000000|H|83.16|2025|31/01/2025|Fra. Correos: Q250001979|1
139|438001272|D|166.32|2025|31/01/2025|Fra. Correos: Q250001978|1
139|440000000|H|166.32|2025|31/01/2025|Fra. Correos: Q250001978|1
140|438001272|D|184.80|2025|31/01/2025|Fra. Correos: Q250001970|1
140|440000000|H|184.80|2025|31/01/2025|Fra. Correos: Q250001970|1
141|438001272|D|85.68|2025|31/01/2025|Fra. Correos: Q250003496|1
141|440000000|H|85.68|2025|31/01/2025|Fra. Correos: Q250003496|1
142|438001272|D|9.24|2025|31/01/2025|Fra. Correos: Q250002009|1
142|440000000|H|9.24|2025|31/01/2025|Fra. Correos: Q250002009|1
143|438001274|D|73.92|2025|31/01/2025|Fra. Correos: Q250001983|1
143|440000000|H|73.92|2025|31/01/2025|Fra. Correos: Q250001983|1
144|438001274|D|18.48|2025|31/01/2025|Fra. Correos: Q250001981|1
144|440000000|H|18.48|2025|31/01/2025|Fra. Correos: Q250001981|1
145|438001274|D|42.84|2025|31/01/2025|Fra. Correos: Q250003510|1
145|440000000|H|42.84|2025|31/01/2025|Fra. Correos: Q250003510|1
146|438001274|D|36.96|2025|31/01/2025|Fra. Correos: Q250001976|1
146|440000000|H|36.96|2025|31/01/2025|Fra. Correos: Q250001976|1
147|438001274|D|397.32|2025|31/01/2025|Fra. Correos: Q250001974|1
147|440000000|H|397.32|2025|31/01/2025|Fra. Correos: Q250001974|1
148|438001274|D|120.12|2025|31/01/2025|Fra. Correos: Q250001333|1
148|440000000|H|120.12|2025|31/01/2025|Fra. Correos: Q250001333|1
149|438001280|D|238.21|2025|31/01/2025|Fra. Correos: Q250005819|1
149|440000000|H|238.21|2025|31/01/2025|Fra. Correos: Q250005819|1
150|438001301|D|474.78|2025|31/01/2025|Fra. Correos: Q250003564|1
150|440000000|H|474.78|2025|31/01/2025|Fra. Correos: Q250003564|1
151|438001370|D|103.52|2025|31/01/2025|Fra. Correos: Q250003394|1
151|440000000|H|103.52|2025|31/01/2025|Fra. Correos: Q250003394|1
152|438001378|D|95.12|2025|31/01/2025|Fra. Correos: Q250003357|1
152|440000000|H|95.12|2025|31/01/2025|Fra. Correos: Q250003357|1
153|438001380|D|302.66|2025|20/01/2025|Fra. Correos: Q250000773|1
153|440000000|H|302.66|2025|20/01/2025|Fra. Correos: Q250000773|1
154|438001422|D|625.67|2025|31/01/2025|Fra. Correos: Q250005887|1
154|440000000|H|625.67|2025|31/01/2025|Fra. Correos: Q250005887|1
155|438001578|D|503.41|2025|30/01/2025|Fra. Correos: Q250001267|1
155|440000000|H|503.41|2025|30/01/2025|Fra. Correos: Q250001267|1
156|438001586|D|11.80|2025|31/01/2025|Fra. Correos: Q250003578|1
156|440000000|H|11.80|2025|31/01/2025|Fra. Correos: Q250003578|1
157|438001595|D|2001.30|2025|31/01/2025|Fra. Correos: Q250003535|1
157|440000000|H|2001.30|2025|31/01/2025|Fra. Correos: Q250003535|1
158|438001600|D|1582.16|2025|27/01/2025|Fra. Correos: Q250001128|1
158|440000000|H|1582.16|2025|27/01/2025|Fra. Correos: Q250001128|1
159|438001640|D|1475.42|2025|14/01/2025|Fra. Correos: Q250000457|1
159|440000000|H|1475.42|2025|14/01/2025|Fra. Correos: Q250000457|1
160|438001640|D|1224.90|2025|14/01/2025|Fra. Correos: Q250000456|1
160|440000000|H|1224.90|2025|14/01/2025|Fra. Correos: Q250000456|1
161|438001641|D|15.60|2025|31/01/2025|Fra. Correos: Q250003586|1
161|440000000|H|15.60|2025|31/01/2025|Fra. Correos: Q250003586|1
162|438001663|D|2573.32|2025|17/01/2025|Fra. Correos: Q250000735|1
162|440000000|H|2573.32|2025|17/01/2025|Fra. Correos: Q250000735|1
163|438001684|D|1.85|2025|31/01/2025|Fra. Correos: Q250003462|1
163|440000000|H|1.85|2025|31/01/2025|Fra. Correos: Q250003462|1
164|438001724|D|246.72|2025|28/01/2025|Fra. Correos: Q250001155|1
164|440000000|H|246.72|2025|28/01/2025|Fra. Correos: Q250001155|1
165|438001771|D|2933.94|2025|28/01/2025|Fra. Correos: Q250001151|1
165|440000000|H|2933.94|2025|28/01/2025|Fra. Correos: Q250001151|1
166|438001771|D|1379.17|2025|24/01/2025|Fra. Correos: Q250001090|1
166|440000000|H|1379.17|2025|24/01/2025|Fra. Correos: Q250001090|1
167|438001771|D|1814.64|2025|24/01/2025|Fra. Correos: Q250001089|1
167|440000000|H|1814.64|2025|24/01/2025|Fra. Correos: Q250001089|1
168|438001771|D|-1797.10|2025|24/01/2025|Fra. Correos: K250000029|1
168|440000000|H|-1797.10|2025|24/01/2025|Fra. Correos: K250000029|1
169|438001771|D|-2343.62|2025|24/01/2025|Fra. Correos: K250000028|1
169|440000000|H|-2343.62|2025|24/01/2025|Fra. Correos: K250000028|1
170|438001771|D|1797.10|2025|20/01/2025|Fra. Correos: Q250000772|1
170|440000000|H|1797.10|2025|20/01/2025|Fra. Correos: Q250000772|1
171|438001771|D|2343.62|2025|17/01/2025|Fra. Correos: Q250000727|1
171|440000000|H|2343.62|2025|17/01/2025|Fra. Correos: Q250000727|1
172|438001792|D|167.77|2025|31/01/2025|Fra. Correos: Q250003397|1
172|440000000|H|167.77|2025|31/01/2025|Fra. Correos: Q250003397|1
173|438001814|D|608.25|2025|14/01/2025|Fra. Correos: Q250000447|1
173|440000000|H|608.25|2025|14/01/2025|Fra. Correos: Q250000447|1
174|438001821|D|262.03|2025|31/01/2025|Fra. Correos: Q250003456|1
174|440000000|H|262.03|2025|31/01/2025|Fra. Correos: Q250003456|1
175|438001858|D|422.82|2025|31/01/2025|Fra. Correos: Q250005820|1
175|440000000|H|422.82|2025|31/01/2025|Fra. Correos: Q250005820|1
176|438001858|D|6.18|2025|31/01/2025|Fra. Correos: Q250003376|1
176|440000000|H|6.18|2025|31/01/2025|Fra. Correos: Q250003376|1
177|438001863|D|876.78|2025|31/01/2025|Fra. Correos: Q250005888|1
177|440000000|H|876.78|2025|31/01/2025|Fra. Correos: Q250005888|1
178|438001874|D|1715.23|2025|31/01/2025|Fra. Correos: Q250005836|1
178|440000000|H|1715.23|2025|31/01/2025|Fra. Correos: Q250005836|1
179|438001903|D|76.68|2025|31/01/2025|Fra. Correos: Q250003408|1
179|440000000|H|76.68|2025|31/01/2025|Fra. Correos: Q250003408|1
180|438001906|D|117.80|2025|31/01/2025|Fra. Correos: Q250005886|1
